#HSFID	HSFTAG	Desig	JTAG	Ship	LDate	EDate	Dur	Crew	Callsign	Station	Program	Project	OrbID	DS	SSF
# Updated 2021 Dec 20 03:48:53
H00130	TM3	1987-063	S18222	Soyuz TM-3	1987 Jul 22 0159:17	1987 Dec 29 0916:15	  160:07:16:58	   3	Vityaz	Mir	RU	Soyuz	ORB114	   0	  44
H00131	TM4	1987-104	S18699	Soyuz TM-4	1987 Dec 21 1118:03	1988 Jun 17 1012:32	  178:22:54:29	   3	Okean	Mir	RU	Soyuz	ORB115	   0	  45
H00132	TM5	1988-048	S19204	Soyuz TM-5	1988 Jun  7 1403:13	1988 Sep  7 0049:38	   91:10:46:25	   3	Rodnik	Mir	RU	Soyuz	ORB116	   0	  46
H00133	TM6	1988-075	S19443	Soyuz TM-6	1988 Aug 29 0423:11	1988 Dec 21 0957:00	  114:05:33:49	   3	Proton	Mir	RU	Soyuz	ORB117	   0	  47
H00134	STS26R	1988-091	S19547	STS-26	1988 Sep 29 1537:00	1988 Oct  3 1637:11	    4:01:00:11	   5	Discovery	-	NASA	STS	ORB118	   0	   0
H00135	TM7	1988-104	S19660	Soyuz TM-7	1988 Nov 26 1549:34	1989 Apr 27 0257:58	  151:11:08:24	   3	Donbass	Mir	RU	Soyuz	ORB119	   0	  48
H00136	STS27R	1988-106	S19670	STS-27	1988 Dec  2 1430:34	1988 Dec  6 2336:11	    4:09:05:37	   5	Atlantis	-	NASA	STS	ORB120	   0	   0
H00137	STS29R	1989-021	S19882	STS-29	1989 Mar 13 1457:00	1989 Mar 18 1435:48	    4:23:38:48	   5	Discovery	-	NASA	STS	ORB121	   0	   0
H00138	STS30R	1989-033	S19968	STS-30	1989 May  4 1847:00	1989 May  8 1943:26	    4:00:56:26	   5	Atlantis	-	NASA	STS	ORB122	   0	   0
H00139	STS28R	1989-061	S20164	STS-28	1989 Aug  8 1237:00	1989 Aug 13 1337:09	    5:01:00:09	   5	Columbia	-	NASA	STS	ORB123	   0	   0
H00140	TM8	1989-071	S20218	Soyuz TM-8	1989 Sep  5 2138:03	1990 Feb 19 0436:18	  166:06:58:15	   2	Vityaz	Mir	RU	Soyuz	ORB124	   0	  49
H00141	STS34	1989-084	S20297	STS-34	1989 Oct 18 1653:40	1989 Oct 23 1633:01	    4:23:39:21	   5	Atlantis	-	NASA	STS	ORB125	   0	   0
H00142	STS33R	1989-090	S20329	STS-33	1989 Nov 23 0023:30	1989 Nov 28 0030:15	    5:00:06:45	   5	Discovery	-	NASA	STS	ORB126	   0	   0
H00143	STS32R	1990-002	S20409	STS-32	1990 Jan  9 1235:00	1990 Jan 20 0935:36	   10:21:00:36	   5	Columbia	-	NASA	STS	ORB127	   0	   0
H00144	TM9	1990-014	S20494	Soyuz TM-9	1990 Feb 11 0616:00	1990 Aug  9 0733:57	  179:01:17:57	   2	Rodnik	Mir	RU	Soyuz	ORB128	   0	  50
H00145	STS36	1990-019	S20512	STS-36	1990 Feb 28 0750:22	1990 Mar  4 1808:44	    4:10:18:22	   5	Atlantis	-	NASA	STS	ORB129	   0	   0
H00146	STS31R	1990-037	S20579	STS-31	1990 Apr 24 1233:52	1990 Apr 29 1349:56	    5:01:16:04	   5	Discovery	-	NASA	STS	ORB130	   0	   0
H00147	TM10	1990-067	S20722	Soyuz TM-10	1990 Aug  1 0932:21	1990 Dec 10 0608:12	  130:20:35:51	   2	Vulkan	Mir	RU	Soyuz	ORB131	   0	  51
H00148	STS41	1990-090	S20841	STS-41	1990 Oct  6 1147:16	1990 Oct 10 1357:18	    4:02:10:02	   5	Discovery	-	NASA	STS	ORB132	   0	   0
H00149	STS38	1990-097	S20935	STS-38	1990 Nov 15 2348:15	1990 Nov 20 2142:42	    4:21:54:27	   5	Atlantis	-	NASA	STS	ORB133	   0	   0
H00150	STS35	1990-106	S20980	STS-35	1990 Dec  2 0649:00	1990 Dec 11 0554:08	    8:23:05:08	   7	Columbia	-	NASA	STS	ORB134	   0	   0
H00151	TM11	1990-107	S20981	Soyuz TM-11	1990 Dec  2 0813:32	1991 May 26 1004:13	  175:01:50:41	   3	Derbent	Mir	RU	Soyuz	ORB135	   0	  52
H00152	STS37	1991-027	S21224	STS-37	1991 Apr  5 1422:45	1991 Apr 11 1355:29	    5:23:32:44	   5	Atlantis	-	NASA	STS	ORB136	   0	   0
H00153	STS39	1991-031	S21242	STS-39	1991 Apr 28 1133:14	1991 May  6 1855:35	    8:07:22:21	   7	Discovery	-	NASA	STS	ORB137	   0	   0
H00154	TM12	1991-034	S21311	Soyuz TM-12	1991 May 18 1250:28	1991 Oct 10 0412:18	  144:15:21:50	   3	Ozon	Mir	RU	Soyuz	ORB138	   0	  53
H00155	STS40	1991-040	S21399	STS-40	1991 Jun  5 1324:51	1991 Jun 14 1539:11	    9:02:14:20	   7	Columbia	-	NASA	STS	ORB139	   0	   0
H00156	STS43	1991-054	S21638	STS-43	1991 Aug  2 1502:00	1991 Aug 11 1223:25	    8:21:21:25	   5	Atlantis	-	NASA	STS	ORB140	   0	   0
H00157	STS48	1991-063	S21700	STS-48	1991 Sep 12 2311:04	1991 Sep 18 0738:42	    5:08:27:38	   5	Discovery	-	NASA	STS	ORB141	   0	   0
H00158	TM13	1991-069	S21735	Soyuz TM-13	1991 Oct  2 0559:38	1992 Mar 25 0851:02	  175:02:51:24	   3	Donbass	Mir	RU	Soyuz	ORB142	   0	  54
H00159	STS44	1991-080	S21795	STS-44	1991 Nov 24 2344:00	1991 Dec  1 2234:42	    6:22:50:42	   6	Atlantis	-	NASA	STS	ORB143	   0	   0
H00160	STS42	1992-002	S21846	STS-42	1992 Jan 22 1452:33	1992 Jan 30 1607:17	    8:01:14:44	   7	Discovery	-	NASA	STS	ORB144	   0	   0
H00161	TM14	1992-014	S21908	Soyuz TM-14	1992 Mar 17 1054:30	1992 Aug 10 0105:02	  145:14:10:32	   3	Vityaz	Mir	RU	Soyuz	ORB145	   0	  55
H00162	STS45	1992-015	S21915	STS-45	1992 Mar 24 1313:39	1992 Apr  2 1123:06	    8:22:09:27	   7	Atlantis	-	NASA	STS	ORB146	   0	   0
H00163	STS49	1992-026	S21963	STS-49	1992 May  7 2340:00	1992 May 16 2057:38	    8:21:17:38	   7	Endeavour	-	NASA	STS	ORB147	   0	   0
H00164	STS50	1992-034	S22000	STS-50	1992 Jun 25 1612:22	1992 Jul  9 1142:27	   13:19:30:05	   7	Columbia	-	NASA	STS	ORB148	   0	   0
H00165	TM15	1992-046	S22054	Soyuz TM-15	1992 Jul 27 0608:42	1993 Feb  1 0348:13	  188:21:39:31	   3	Rodnik	Mir	RU	Soyuz	ORB149	   0	  56
H00166	STS46	1992-049	S22064	STS-46	1992 Jul 31 1356:48	1992 Aug  8 1311:50	    7:23:15:02	   7	Atlantis	-	NASA	STS	ORB150	   0	   0
H00167	STS47	1992-061	S22120	STS-47	1992 Sep 12 1423:00	1992 Sep 20 1253:22	    7:22:30:22	   7	Endeavour	-	NASA	STS	ORB151	   0	   0
H00168	STS52	1992-070	S22194	STS-52	1992 Oct 22 1709:40	1992 Nov  1 1405:52	    9:20:56:12	   6	Columbia	-	NASA	STS	ORB152	   0	   0
H00169	STS53	1992-086	S22259	STS-53	1992 Dec  2 1324:00	1992 Dec  9 2043:47	    7:07:19:47	   5	Discovery	-	NASA	STS	ORB153	   0	   0
H00170	STS54	1993-003	S22313	STS-54	1993 Jan 13 1359:30	1993 Jan 19 1337:47	    5:23:38:17	   5	Endeavour	-	NASA	STS	ORB154	   0	   0
H00171	TM16	1993-005	S22319	Soyuz TM-16	1993 Jan 24 0558:05	1993 Jul 22 0641:50	  179:00:43:45	   2	Vulkan	Mir	RU	Soyuz	ORB155	   0	  57
HA0012	STS55X	1993-A20	L80547	STS-55	1993 Mar 22 1450:57	1993 Mar 22 1450:57	    0:00:00:00	   7	Columbia	-	NASA	STS	-	   0	   0
H00172	STS56	1993-023	S22621	STS-56	1993 Apr  8 0529:00	1993 Apr 17 1137:19	    9:06:08:19	   5	Discovery	-	NASA	STS	ORB156	   0	   0
H00173	STS55	1993-027	S22640	STS-55	1993 Apr 26 1450:00	1993 May  6 1430:00	    9:23:40:00	   7	Columbia	-	NASA	STS	ORB157	   0	   0
H00174	STS57	1993-037	S22684	STS-57	1993 Jun 21 1307:22	1993 Jul  1 1252:16	    9:23:44:54	   6	Endeavour	-	NASA	STS	ORB158	   0	   0
H00175	TM17	1993-043	S22704	Soyuz TM-17	1993 Jul  1 1432:58	1994 Jan 14 0818:20	  196:17:45:22	   3	Sirius	Mir	RU	Soyuz	ORB159	   0	  58
HA0013	STS51X	1993-A21	L80551	STS-51	1993 Aug 12 1312:32	1993 Aug 12 1312:32	    0:00:00:00	   5	Discovery	-	NASA	STS	-	   0	   0
H00176	STS51	1993-058	S22795	STS-51	1993 Sep 12 1145:00	1993 Sep 22 0756:06	    9:20:11:06	   5	Discovery	-	NASA	STS	ORB160	   0	   0
H00177	STS58	1993-065	S22869	STS-58	1993 Oct 18 1453:10	1993 Nov  1 1505:43	   14:00:12:33	   7	Columbia	-	NASA	STS	ORB161	   0	   0
H00178	STS61	1993-075	S22917	STS-61	1993 Dec  2 0927:00	1993 Dec 13 0525:34	   10:19:58:34	   7	Endeavour	-	NASA	STS	ORB162	   0	   0
H00179	TM18	1994-001	S22957	Soyuz TM-18	1994 Jan  8 1005:34	1994 Jul  9 1032:35	  182:00:27:01	   3	Derbent	Mir	RU	Soyuz	ORB163	   0	  59
H00180	STS60	1994-006	S22977	STS-60	1994 Feb  3 1210:00	1994 Feb 11 1919:22	    8:07:09:22	   6	Discovery	-	NASA	STS	ORB164	   0	   0
H00181	STS62	1994-015	S23025	STS-62	1994 Mar  4 1353:00	1994 Mar 18 1309:41	   13:23:16:41	   5	Columbia	-	NASA	STS	ORB165	   0	   0
H00182	STS59	1994-020	S23042	STS-59	1994 Apr  9 1105:01	1994 Apr 20 1654:30	   11:05:49:29	   6	Endeavour	-	NASA	STS	ORB166	   0	   0
H00183	TM19	1994-036	S23139	Soyuz TM-19	1994 Jul  1 1224:50	1994 Nov  4 1118:26	  125:22:53:36	   2	Agat	Mir	RU	Soyuz	ORB167	   0	  60
H00184	STS65	1994-039	S23173	STS-65	1994 Jul  8 1643:00	1994 Jul 23 1038:01	   14:17:55:01	   7	Columbia	-	NASA	STS	ORB168	   0	   0
H00185	STS64	1994-059	S23251	STS-64	1994 Sep  9 2222:53	1994 Sep 20 2112:53	   10:22:50:00	   6	Discovery	-	NASA	STS	ORB169	   0	   0
HA0014	STS68X	1994-A08	L80543	STS-68	1994 Aug 18 1053:58	1994 Aug 18 1053:58	    0:00:00:00	   6	Endeavour	-	NASA	STS	-	   0	   0
H00186	STS68	1994-062	S23285	STS-68	1994 Sep 30 1116:00	1994 Oct 11 1702:09	   11:05:46:09	   6	Endeavour	-	NASA	STS	ORB170	   0	   0
H00187	TM20	1994-063	S23288	Soyuz TM-20	1994 Oct  3 2242:30	1995 Mar 22 0404:05	  169:05:21:35	   3	Vityaz	Mir	RU	Soyuz	ORB171	   0	  61
H00188	STS66	1994-073	S23340	STS-66	1994 Nov  3 1659:43	1994 Nov 14 1533:45	   10:22:34:02	   6	Atlantis	-	NASA	STS	ORB172	   0	   0
H00189	STS63	1995-004	S23469	STS-63	1995 Feb  3 0522:04	1995 Feb 11 1150:19	    8:06:28:15	   6	Discovery	Mir	NASA	STS	ORB173	   0	  62
H00190	STS67	1995-007	S23500	STS-67	1995 Mar  2 0638:13	1995 Mar 18 2147:00	   16:15:08:47	   7	Endeavour	-	NASA	STS	ORB174	   0	   0
H00191	TM21	1995-010	S23519	Soyuz TM-21	1995 Mar 14 0611:34	1995 Sep 11 0652:40	  181:00:41:06	   3	Uragan	Mir	RU	Soyuz	ORB175	   0	  63
H00192	STS71	1995-030	S23600	STS-71	1995 Jun 27 1932:18	1995 Jul  7 1454:36	    9:19:22:18	   7	Atlantis	Mir	NASA	STS	ORB176	   0	  64
H00193	STS70	1995-035	S23612	STS-70	1995 Jul 13 1341:55	1995 Jul 22 1202:02	    8:22:20:07	   5	Discovery	-	NASA	STS	ORB177	   0	   0
H00194	TM22	1995-047	S23665	Soyuz TM-22	1995 Sep  3 0900:23	1996 Feb 29 1042:08	  179:01:41:45	   3	Uran	Mir	RU	Soyuz	ORB178	   0	  65
H00195	STS69	1995-048	S23667	STS-69	1995 Sep  7 1509:00	1995 Sep 18 1137:56	   10:20:28:56	   5	Endeavour	-	NASA	STS	ORB179	   0	   0
H00196	STS73	1995-056	S23688	STS-73	1995 Oct 20 1353:00	1995 Nov  5 1145:21	   15:21:52:21	   7	Columbia	-	NASA	STS	ORB180	   0	   0
H00197	STS74	1995-061	S23714	STS-74	1995 Nov 12 1230:43	1995 Nov 20 1701:27	    8:04:30:44	   5	Atlantis	Mir	NASA	STS	ORB181	   0	  66
H00198	STS72	1996-001	S23762	STS-72	1996 Jan 11 0941:00	1996 Jan 20 0741:41	    8:22:00:41	   6	Endeavour	-	NASA	STS	ORB182	   0	   0
H00199	TM23	1996-011	S23798	Soyuz TM-23	1996 Feb 21 1234:05	1996 Sep  2 0741:40	  193:19:07:35	   2	Skif	Mir	RU	Soyuz	ORB183	   0	  67
H00200	STS75	1996-012	S23801	STS-75	1996 Feb 22 2018:00	1996 Mar  9 1358:21	   15:17:40:21	   7	Columbia	-	NASA	STS	ORB184	   0	   0
H00201	STS76	1996-018	S23831	STS-76	1996 Mar 22 0813:04	1996 Mar 31 1328:57	    9:05:15:53	   6	Atlantis	Mir	NASA	STS	ORB185	   0	  68
H00202	STS77	1996-032	S23870	STS-77	1996 May 19 1030:00	1996 May 29 1109:24	   10:00:39:24	   6	Endeavour	-	NASA	STS	ORB186	   0	   0
H00203	STS78	1996-036	S23931	STS-78	1996 Jun 20 1449:00	1996 Jul  7 1236:36	   16:21:47:36	   7	Columbia	-	NASA	STS	ORB187	   0	   0
H00204	TM24	1996-047	S24280	Soyuz TM-24	1996 Aug 17 1318:03	1997 Mar  2 0644:13	  196:17:26:10	   3	Fregat	Mir	RU	Soyuz	ORB188	   0	  69
H00205	STS79	1996-057	S24324	STS-79	1996 Sep 16 0854:49	1996 Sep 26 1213:15	   10:03:18:26	   6	Atlantis	Mir	NASA	STS	ORB189	   0	  70
H00206	STS80	1996-065	S24660	STS-80	1996 Nov 19 1955:47	1996 Dec  7 1149:05	   17:15:53:18	   5	Columbia	-	NASA	STS	ORB190	   0	   0
H00207	STS81	1997-001	S24711	STS-81	1997 Jan 12 0927:23	1997 Jan 22 1422:44	   10:04:55:21	   6	Atlantis	Mir	NASA	STS	ORB191	   0	  71
H00208	TM25	1997-003	S24717	Soyuz TM-25	1997 Feb 10 1409:30	1997 Aug 14 1217:10	  184:22:07:40	   3	Sirius	Mir	RU	Soyuz	ORB192	   0	  72
H00209	STS82	1997-004	S24719	STS-82	1997 Feb 11 0855:17	1997 Feb 21 0832:26	    9:23:37:09	   7	Discovery	-	NASA	STS	ORB193	   0	   0
H00210	STS83	1997-013	S24755	STS-83	1997 Apr  4 1920:32	1997 Apr  8 1833:11	    3:23:12:39	   7	Columbia	-	NASA	STS	ORB194	   0	   0
H00211	STS84	1997-023	S24804	STS-84	1997 May 15 0807:48	1997 May 24 1327:44	    9:05:19:56	   7	Atlantis	Mir	NASA	STS	ORB195	   0	  73
H00212	STS94	1997-032	S24849	STS-94	1997 Jul  1 1802:00	1997 Jul 17 1046:34	   15:16:44:34	   7	Columbia	-	NASA	STS	ORB196	   0	   0
H00213	TM26	1997-038	S24886	Soyuz TM-26	1997 Aug  5 1535:53	1998 Feb 19 0910:30	  197:17:34:37	   2	Rodnik	Mir	RU	Soyuz	ORB197	   0	  74
H00214	STS85	1997-039	S24889	STS-85	1997 Aug  7 1441:00	1997 Aug 19 1107:59	   11:20:26:59	   6	Discovery	-	NASA	STS	ORB198	   0	   0
H00215	STS86	1997-055	S24964	STS-86	1997 Sep 26 0234:19	1997 Oct  6 2155:12	   10:19:20:53	   7	Atlantis	Mir	NASA	STS	ORB199	   0	  75
H00216	STS87	1997-073	S25061	STS-87	1997 Nov 19 1946:00	1997 Dec  5 1220:02	   15:16:34:02	   6	Columbia	-	NASA	STS	ORB200	   0	   0
H00217	STS89	1998-003	S25143	STS-89	1998 Jan 23 0248:15	1998 Jan 31 2235:10	    8:19:46:55	   7	Endeavour	Mir	NASA	STS	ORB201	   0	  76
H00218	TM27	1998-004	S25146	Soyuz TM-27	1998 Jan 29 1633:42	1998 Aug 25 0524:44	  207:12:51:02	   3	Kristall	Mir	RU	Soyuz	ORB202	   0	  77
H00219	STS90	1998-022	S25297	STS-90	1998 Apr 17 1819:00	1998 May  3 1608:59	   15:21:49:59	   7	Columbia	-	NASA	STS	ORB203	   0	   0
H00220	STS91	1998-034	S25356	STS-91	1998 Jun  2 2206:24	1998 Jun 12 1800:24	    9:19:54:00	   6	Discovery	Mir	NASA	STS	ORB204	   0	  78
H00221	TM28	1998-047	S25429	Soyuz TM-28	1998 Aug 13 0943:11	1999 Feb 28 0214:30	  198:16:31:19	   3	Al'tair	Mir	RU	Soyuz	ORB205	   0	  79
H00222	STS95	1998-064	S25519	STS-95	1998 Oct 29 1919:34	1998 Nov  7 1703:30	    8:21:43:56	   7	Discovery	-	NASA	STS	ORB206	   0	   0
H00223	STS88	1998-069	S25549	STS-88	1998 Dec  4 0835:34	1998 Dec 16 0353:29	   11:19:17:55	   6	Endeavour	ISS	NASA	STS	ORB207	   0	  80
H00224	TM29	1999-007	S25632	Soyuz TM-29	1999 Feb 20 0418:01	1999 Aug 28 0034:20	  188:20:16:19	   3	Derbent	Mir	RU	Soyuz	ORB208	   0	  81
H00225	STS96	1999-030	S25760	STS-96	1999 May 27 1049:42	1999 Jun  6 0602:45	    9:19:13:03	   7	Discovery	ISS	NASA	STS	ORB209	   0	  82
H00226	STS93	1999-040	S25866	STS-93	1999 Jul 23 0431:00	1999 Jul 28 0320:36	    4:22:49:36	   5	Columbia	-	NASA	STS	ORB210	   0	   0
H00227	STS103	1999-069	S25996	STS-103	1999 Dec 20 0050:00	1999 Dec 28 0000:47	    7:23:10:47	   7	Discovery	-	NASA	STS	ORB211	   0	   0
H00228	STS99	2000-010	S26088	STS-99	2000 Feb 11 1743:40	2000 Feb 22 2322:24	   11:05:38:44	   6	Endeavour	-	NASA	STS	ORB212	   0	   0
H00229	TM30	2000-018	S26116	Soyuz TM-30	2000 Apr  4 0501:29	2000 Jun 16 0043:45	   72:19:42:16	   2	Yenisey	Mir	RU	Soyuz/MirCorp	ORB213	   0	  83
H00230	STS101	2000-027	S26368	STS-101	2000 May 19 1011:10	2000 May 29 0620:19	    9:20:09:09	   7	Atlantis	ISS	NASA	STS	ORB214	   0	  84
H00231	STS106	2000-053	S26489	STS-106	2000 Sep  8 1245:47	2000 Sep 20 0756:44	   11:19:10:57	   7	Atlantis	ISS	NASA	STS	ORB215	   0	  85
H00232	STS92	2000-062	S26563	STS-92	2000 Oct 11 2317:00	2000 Oct 24 2059:41	   12:21:42:41	   7	Discovery	ISS	NASA	STS	ORB216	   0	  86
H00233	TM31	2000-070	S26603	Soyuz TM-31	2000 Oct 31 0752:47	2001 May  6 0541:28	  186:21:48:41	   3	Uran	ISS	RU	Soyuz	ORB217	   0	  87
H00234	STS97	2000-078	S26630	STS-97	2000 Dec  1 0306:01	2000 Dec 11 2303:23	   10:19:57:22	   5	Endeavour	ISS	NASA	STS	ORB218	   0	  88
H00235	STS98	2001-006	S26698	STS-98	2001 Feb  7 2313:02	2001 Feb 20 2033:06	   12:21:20:04	   5	Atlantis	ISS	NASA	STS	ORB219	   0	  89
H00236	STS102	2001-010	S26718	STS-102	2001 Mar  8 1142:09	2001 Mar 21 0731:42	   12:19:49:33	   7	Discovery	ISS	NASA	STS	ORB220	   0	  90
H00237	STS100	2001-016	S26747	STS-100	2001 Apr 19 1840:42	2001 May  1 1610:43	   11:21:30:01	   7	Endeavour	ISS	NASA	STS	ORB221	   0	  91
H00238	TM32	2001-017	S26749	Soyuz TM-32	2001 Apr 28 0737:20	2001 Oct 31 0459:26	  185:21:22:06	   3	Kristall?	ISS	RU	Soyuz	ORB222	   0	  92
H00239	STS104	2001-028	S26862	STS-104	2001 Jul 12 0903:59	2001 Jul 25 0338:55	   12:18:34:56	   5	Atlantis	ISS	NASA	STS	ORB223	   0	  93
H00240	STS105	2001-035	S26888	STS-105	2001 Aug 10 2110:14	2001 Aug 22 1822:59	   11:21:12:45	   7	Discovery	ISS	NASA	STS	ORB224	   0	  94
H00241	TM33	2001-048	S26955	Soyuz TM-33	2001 Oct 21 0859:35	2002 May  5 0351:53	  195:18:52:18	   3	Derbent	ISS	RU	Soyuz	ORB225	   0	  95
H00242	STS108	2001-054	S26995	STS-108	2001 Dec  5 2219:28	2001 Dec 17 1755:12	   11:19:35:44	   7	Endeavour	ISS	NASA	STS	ORB226	   0	  96
H00243	STS109	2002-010	S27388	STS-109	2002 Mar  1 1122:02	2002 Mar 12 0931:52	   10:22:09:50	   7	Columbia	-	NASA	STS	ORB227	   0	   0
H00244	STS110	2002-018	S27413	STS-110	2002 Apr  8 2044:19	2002 Apr 19 1626:58	   10:19:42:39	   7	STS-110	ISS	NASA	STS	ORB228	   0	  97
H00245	TM34	2002-020	S27416	Soyuz TM-34	2002 Apr 25 0626:35	2002 Nov 10 0004:20	  198:17:37:45	   3	Uran	ISS	RU	Soyuz	ORB229	   0	  98
H00246	STS111	2002-028	S27440	STS-111	2002 Jun  5 2122:49	2002 Jun 19 1757:43	   13:20:34:54	   7	STS-111	ISS	NASA	STS	ORB230	   0	  99
H00247	STS112	2002-047	S27537	STS-112	2002 Oct  7 1945:51	2002 Oct 18 1543:40	   10:19:57:49	   6	STS-112	ISS	NASA	STS	ORB231	   0	 100
H00248	TMA1	2002-050	S27552	Soyuz TMA-1	2002 Oct 30 0311:11	2003 May  4 0204:25	  185:22:53:14	   3	Yenisey	ISS	RU	Soyuz	ORB232	   0	 101
H00249	STS113	2002-052	S27556	STS-113	2002 Nov 24 0049:47	2002 Dec  7 1937:13	   13:18:47:26	   7	STS-113	ISS	NASA	STS	ORB233	   0	 102
H00250	STS107	2003-003	S27647	STS-107	2003 Jan 16 1539:00	2003 Feb  1 1401:10	   15:22:22:10	   7	STS-107	-	NASA	STS	ORB234	   0	   0
H00251	TMA2	2003-016	S27781	Soyuz TMA-2	2003 Apr 26 0353:52	2003 Oct 28 0240:20	  184:22:46:28	   2	Agat	ISS	RU	Soyuz	ORB235	   0	 103
H00252	SZ5	2003-045	S28043	Shenzhou 5	2003 Oct 15 0100:03	2003 Oct 15 2223	    0:21:22 	   1	-	-	CN	SZ	ORB236	   0	   0
H00253	TMA3	2003-047	S28052	Soyuz TMA-3	2003 Oct 18 0538:03	2004 Apr 30 0011:15	  194:18:33:12	   3	Ingul'	ISS	RU	Soyuz	ORB237	   0	 104
H00254	TMA4	2004-013	S28228	Soyuz TMA-4	2004 Apr 19 0319:00	2004 Oct 24 0035:09	  187:21:16:09	   3	Al'tair	ISS	RU	Soyuz	ORB238	   0	 105
H00255	SS1-15P	2004-S22	R67457	SS1 15P	2004 Jun 21 1450	2004 Jun 21 1514	    0:00:23 	   1	-	-	SCL	SS1	SO17	   0	   0
H00256	SS1-16P	2004-S53	R67645	SS1 16P	2004 Sep 29 1509:53	2004 Sep 29 1534:04	    0:00:24:11	   1	-	-	SCL	SS1	SO18	   0	   0
H00257	SS1-17P	2004-S56	R67648	SS1 17P	2004 Oct  4 1449:11	2004 Oct  4 1513:07	    0:00:23:56	   1	-	-	SCL	SS1	SO19	   0	   0
H00258	TMA5	2004-040	S28444	Soyuz TMA-5	2004 Oct 14 0306:26	2005 Apr 24 2208:27	  192:19:02:01	   3	Tyan' Shan'	ISS	RU	Soyuz	ORB239	   0	 106
H00259	TMA6	2005-013	S28640	Soyuz TMA-6	2005 Apr 15 0046:25	2005 Oct 11 0109:48	  179:00:23:23	   3	Bazal't	ISS	RU	Soyuz	ORB240	   0	 107
H00260	STS114	2005-026	S28775	STS-114	2005 Jul 26 1439:00	2005 Aug  9 1211:23	   13:21:32:23	   7	STS-114	ISS	NASA	STS	ORB241	   0	 108
H00261	TMA7	2005-039	S28877	Soyuz TMA-7	2005 Oct  1 0354:53	2006 Apr  8 2347:24	  189:19:52:31	   3	Rassvet	ISS	RU	Soyuz	ORB242	   0	 109
H00262	SZ6	2005-040	S28879	Shenzhou 6	2005 Oct 12 0100:04	2005 Oct 16 2032:54	    4:19:32:50	   2	-	-	CN	SZ	ORB243	   0	   0
H00263	TMA8	2006-009	S28996	Soyuz TMA-8	2006 Mar 30 0230:20	2006 Sep 29 0113:37	  182:22:43:17	   3	Karat	ISS	RU	Soyuz	ORB244	   0	 110
H00264	STS121	2006-028	S29251	STS-121	2006 Jul  4 1837:55	2006 Jul 17 1314:43	   12:18:36:48	   7	STS-121	ISS	NASA	STS	ORB245	   0	 111
H00265	STS115	2006-036	S29391	STS-115	2006 Sep  9 1514:55	2006 Sep 21 1021:25	   11:19:06:30	   6	STS-115	ISS	NASA	STS	ORB246	   0	 112
H00266	TMA9	2006-040	S29400	Soyuz TMA-9	2006 Sep 18 0408:42	2007 Apr 21 1231:04	  215:08:22:22	   3	Vostok	ISS	RU	Soyuz	ORB247	   0	 113
H00267	STS116	2006-055	S29647	STS-116	2006 Dec 10 0147:35	2006 Dec 22 2231:59	   12:20:44:24	   7	STS-116	ISS	NASA	STS	ORB248	   0	 114
H00268	TMA10	2007-008	S31100	Soyuz TMA-10	2007 Apr  7 1731:14	2007 Oct 21 1035:49	  196:17:04:35	   3	Pul'sar	ISS	RU	Soyuz	ORB249	   0	 115
H00269	STS117	2007-024	S31600	STS-117	2007 Jun  8 2338:04	2007 Jun 22 1949:38	   13:20:11:34	   7	STS-117	ISS	NASA	STS	ORB250	   0	 116
H00270	STS118	2007-035	S32008	STS-118	2007 Aug  8 2236:42	2007 Aug 21 1632:17	   12:17:55:35	   7	STS-118	ISS	NASA	STS	ORB251	   0	 117
H00271	TMA11	2007-045	S32256	Soyuz TMA-11	2007 Oct 10 1322:39	2008 Apr 19 0829:44	  191:19:07:05	   3	Agat	ISS	RU	Soyuz	ORB252	   0	 118
H00272	STS120	2007-050	S32272	STS-120	2007 Oct 23 1538:19	2007 Nov  7 1801:18	   15:02:22:59	   7	STS-120	ISS	NASA	STS	ORB253	   0	 119
H00273	STS122	2008-005	S32486	STS-122	2008 Feb  7 1945:30	2008 Feb 20 1407:09	   12:18:21:39	   7	STS-122	ISS	NASA	STS	ORB254	   0	 120
H00274	STS123	2008-009	S32699	STS-123	2008 Mar 11 0628:14	2008 Mar 27 0039:08	   15:18:10:54	   7	STS-123	ISS	NASA	STS	ORB255	   0	 121
H00275	TMA12	2008-015	S32756	Soyuz TMA-12	2008 Apr  8 1116:39	2008 Oct 24 0336:50	  198:16:20:11	   3	Eridan	ISS	RU	Soyuz	ORB256	   0	 122
H00276	STS124	2008-027	S32960	STS-124	2008 May 31 2102:12	2008 Jun 14 1515:18	   13:18:13:06	   7	STS-124	ISS	NASA	STS	ORB257	   0	 123
H00277	SZ7	2008-047	S33386	Shenzhou 7	2008 Sep 25 1310:05	2008 Sep 28 0937:40	    2:20:27:35	   3	-	-	CN	SZ	ORB258	   0	   0
H00278	TMA13	2008-050	S33399	Soyuz TMA-13	2008 Oct 12 0701:33	2009 Apr  8 0715:10	  178:00:13:37	   3	Titan	ISS	RU	Soyuz	ORB259	   0	 124
H00279	STS126	2008-059	S33441	STS-126	2008 Nov 15 0055:39	2008 Nov 30 2125:07	   15:20:29:28	   7	STS-126	ISS	NASA	STS	ORB260	   0	 125
