#No	Program	Categ	RoleCode	Mission	HSFID	Role	Name	Rank	Employer	Sponsor	ID	LDate	Duration	Segments
# Updated 2022 Jun 03 03:10:47
#
# Human Space Rides
#
    30	NASA	M	GT5/PLT	Gemini V	H00024	Pilot	Charles Conrad, Lt Cdr USN, NASA	LtCdr USN	USN	NASA	AS-00025	1965 Aug 21 1400:00	    7:22:55:14	-
    31	X15	C	X34973/PLT	X-15 3-49-73	H00025	Pilot	John B. McKay, NASA, USN ret.	-	NASA	NASA	AS-00026	1965 Sep 28 1707:37	    0:00:11:56	-
    32	X15	M	X161101/PLT	X-15 1-61-101	H00026	Pilot	Joseph H. Engle, Capt USAF	Capt. USAF	USAF	USAF	AS-00024	1965 Oct 14 1946:32	    0:00:09:28	-
    33	NASA	M	GT7/CDR	Gemini VII	H00027	Command Pilot	Frank Borman, Lt-Col USAF, NASA	Lt-Col. USAF	USAF	NASA	AS-00027	1965 Dec  4 1930:04	   13:18:35:00	-
    34	NASA	M	GT7/PLT	Gemini VII	H00027	Pilot	James Arthur Lovell, Jr, Lt Cdr USN, NASA	LtCdr USN	USN	NASA	AS-00028	1965 Dec  4 1930:04	   13:18:35:00	-
    35	NASA	M	GT6A/CDR	Gemini VI-A	H00028	Command Pilot	Walter Martin Schirra, Jr, Capt USN, NASA	Capt. USN	USN	NASA	AS-00010	1965 Dec 15 1337:26	    1:01:51:21	-
    36	NASA	M	GT6A/PLT	Gemini VI-A	H00028	Pilot	Thomas Patten Stafford, Maj USAF, NASA	Maj. USAF	USAF	NASA	AS-00029	1965 Dec 15 1337:26	    1:01:51:21	-
    37	NASA	C	GTA8/CDR	Gemini VIII	H00029	Command Pilot	Neil Alden Armstrong, Lt j.g. USN (ret.),NASA	Lt j.g. USN (ret.)	NASA	NASA	AS-00030	1966 Mar 16 1641:02	    0:10:41:26	-
    38	NASA	M	GTA8/PLT	Gemini VIII	H00029	Pilot	David Randolph Scott, Maj USAF, NASA	Maj. USAF	USAF	NASA	AS-00031	1966 Mar 16 1641:02	    0:10:41:26	-
    39	NASA	M	GTA9A/CDR	Gemini IX-A	H00030	Command Pilot	Thomas Patten Stafford, Lt Col USAF, NASA	LtCol. USAF	USAF	NASA	AS-00029	1966 Jun  3 1339:33	    3:00:20:50	-
    40	NASA	M	GTA9A/PLT	Gemini IX-A	H00030	Pilot	Eugene Andrew Cernan, Lt Cdr USN, NASA	LtCdr. USN	USN	NASA	AS-00032	1966 Jun  3 1339:33	    3:00:20:50	-
    41	NASA	M	GTA10/CDR	Gemini X	H00031	Command Pilot	John Watts Young, Cdr USN, NASA	Cdr. USN	USN	NASA	AS-00021	1966 Jul 18 2220:27	    2:22:46:38	-
    42	NASA	M	GTA10/PLT	Gemini X	H00031	Pilot	Michael Collins, Maj USAF, NASA	Maj. USAF	USAF	NASA	AS-00033	1966 Jul 18 2220:27	    2:22:46:38	-
    43	NASA	M	GTA11/CDR	Gemini XI	H00032	Command Pilot	Charles Conrad, Cdr USN, NASA	Cdr. USN	USN	NASA	AS-00025	1966 Sep 12 1442:27	    2:23:17:07	-
    44	NASA	M	GTA11/PLT	Gemini XI	H00032	Pilot	Richard Francis Gordon, Lt Cdr USN, NASA	LtCdr. USN	USN	NASA	AS-00034	1966 Sep 12 1442:27	    2:23:17:07	-
    45	X15	C	X35683/PLT	X-15 3-56-83	H00033	Pilot	William H. Dana (USAF ret.) NASA	-	NASA	NASA	AS-00035	1966 Nov  1 2124:12	    0:00:10:43	-
    46	NASA	M	GTA12/CDR	Gemini XII	H00034	Command Pilot	James Arthur Lovell, Jr, Cdr USN, NASA	Cdr. USN	USN	NASA	AS-00028	1966 Nov 11 2046:33	    3:22:34:31	-
    47	NASA	M	GTA12/PLT	Gemini XII	H00034	Pilot	Edwin Eugene Aldrin, Jr, Maj USAF, NASA	Maj. USAF	USAF	NASA	AS-00036	1966 Nov 11 2046:33	    3:22:34:31	-
    48	RU	M	S1/KDR	Soyuz-1	H00035	Komandir	Vladimir Mikhailovich Komarov, Pol. VVS	Pol. VVS	VVS	TSPK	AS-00016	1967 Apr 23 0035:00	    1:02:47:52	-
    49	X15	M	X36495/PLT	X-15 3-64-95	H00036	Pilot	William 'Pete' Knight, Maj USAF	Maj. USAF	USAF	USAF	AS-00037	1967 Oct 17 1640:23	    0:00:10:06	-
    50	X15	M	X36597/PLT	X-15 3-65-97	H00037	Pilot	Michael J. Adams, Maj USAF	Maj. USAF	USAF	USAF	AS-00038	1967 Nov 15 1830:07	    0:00:04:51	-
    51	X15	C	X179139/PLT	X-15 1-71-139	H00038	Pilot	William H. Dana (USAF ret.) NASA	-	NASA	NASA	AS-00035	1968 Aug 21 1604:48	    0:00:09:23	-
    52	NASA	M	A7/CDR	Apollo 7	H00039	Commander	Walter Martin Schirra, Jr, Capt USN, NASA	Capt. USN	USN	NASA	AS-00010	1968 Oct 11 1502:45	   10:20:09:03	-
    53	NASA	M	A7/SP	Apollo 7	H00039	Senior Pilot	Donn Fulton Eisele, Maj USAF, NASA	Maj. USAF	USAF	NASA	AS-00039	1968 Oct 11 1502:45	   10:20:09:03	-
    54	NASA	C	A7/PLT	Apollo 7	H00039	Pilot	Walter Cunningham, NASA (USMC Ret.)	-	NASA	NASA	AS-00040	1968 Oct 11 1502:45	   10:20:09:03	-
    55	RU	M	S3/KDR	Soyuz-3	H00040	Komandir	Georgiy Timofeevich Beregovoy, Pol. VVS	Pol. VVS	VVS	TSPK	AS-00041	1968 Oct 26 0834:18	    3:22:50:45	-
    56	NASA	M	A8/CDR	Apollo 8	H00041	Commander	Frank Borman, Col USAF, NASA	Col. USAF	USAF	NASA	AS-00027	1968 Dec 21 1251:00	    6:03:00:42	-
    57	NASA	M	A8/SP	Apollo 8	H00041	Senior Pilot	James Arthur Lovell, Jr, Capt USN, NASA	Capt. USN	USN	NASA	AS-00028	1968 Dec 21 1251:00	    6:03:00:42	-
    58	NASA	M	A8/PLT	Apollo 8	H00041	Pilot	William Alison Anders, Maj USAF, NASA	Maj. USAF	USAF	NASA	AS-00042	1968 Dec 21 1251:00	    6:03:00:42	-
    59	RU	M	S4/KDR	Soyuz-4	H00042	Komandir	Vladimir Aleksandrovich Shatalov, Pol. VVS	Pol. VVS	VVS	TSPK	AS-00043	1969 Jan 14 0730:00	    2:23:20:47	-
    60	RU	M	S5/KDR	Soyuz-5	H00043	Komandir	Boris Valentinovich Volynov, Pol VVS	Pol. VVS	VVS	TSPK	AS-00044	1969 Jan 15 0704:57	    3:00:54:15	-
    61	RU	C	S5/BI	Soyuz-5	H00043	Bortinzhener	Aleksey Stanislavovich Yeliseev	-	OKB1	OKB1	AS-00045	1969 Jan 15 0704:57	    1:23:45 	S4:3
    62	RU	M	S5/II	Soyuz-5	H00043	Inzhener-ispitatel'	Yevgeniy Vasilevich Khrunov, PodPol. VVS	Podpol. VVS	VVS	TSPK	AS-00046	1969 Jan 15 0704:57	    1:23:45 	S4:3
    63	NASA	M	A9/CDR	Apollo 9	H00044	Commander	James Alton McDivitt, Col USAF, NASA	Col. USAF	USAF	NASA	AS-00022	1969 Mar  3 1600:00	   10:01:00 	LM3:3,A9:4
    64	NASA	M	A9/CMP	Apollo 9	H00044	Command Module Pilot	David Randolph Scott, Col USAF, NASA	Col. USAF	USAF	NASA	AS-00031	1969 Mar  3 1600:00	   10:01:00:54	-
    65	NASA	C	A9/LMP	Apollo 9	H00044	Lunar Module Pilot	Russell Louis Schweickart, NASA (USAF ret.)	-	NASA	NASA	AS-00047	1969 Mar  3 1600:00	   10:01:00 	LM3:3,A9:4
